Key,Frame
t,86
h,91
e,96
space,101
e,108
n,111
e,114
g,123
backspace,139
r,162
g,169
e,177
t,180
i,188
c,192
space,198
f,202
o,207
x,210
space,218
d,224
a,231
s,235
h,244
e,248
d,254
space,259
c,265
a,274
backspace,284
backspace,289
a,298
c,305
r,315
o,322
s,330
space,337
2,351
backspace,363
3,366
6,378
space,386
w,394
i,397
n,404
d,408
i,412
n,417
g,423
a,431
backspace,448
backspace,452
backspace,457
p,466
a,470
backspace,482
backspace,487
space,506
p,511
a,516
t,525
h,529
space,536
l,545
backspace,556
backspace,561
comma,572
space,580
l,594
e,599
a,604
backspace,614
backspace,619
backspace,623
backspace,628
backspace,634
s,646
comma,658
space,665
l,677
e,680
a,687
p,698
i,708
n,715
g,720
space,727
o,733
v,737
e,744
r,752
space,756
2,767
1,774
space,779
space,782
l,794
backspace,809
backspace,814
backspace,820
space,836
l,846
a,851
z,859
y,867
space,876
e,879
o,883
g,887
s,892
backspace,902
backspace,907
backspace,914
d,928
o,932
g,936
s,942
space,948
q,958
n,963
d,966
space,969
backspace,981
backspace,986
backspace,991
backspace,995
a,1015
n,1024
s,1028
backspace,1048
d,1070
space,1076
p,1082
u,1089
s,1095
z,1100
l,1106
i,1111
backspace,1120
backspace,1125
backspace,1130
backspace,1134
z,1148
z,1155
l,1179
i,1185
n,1191
g,1194
space,1199
backspace,1211
backspace,1216
backspace,1219
backspace,1222
n,1247
g,1250
space,1257
5,1279
4,1287
space,1294
s,1304
u,1329
i,1336
r,1344
backspace,1357
backspace,1362
backspace,1365
q,1380
u,1392
r,1411
backspace,1423
i,1439
r,1444
r,1465
l,1471
e,1475
w,1483
backspace,1496
backspace,1501
backspace,1504
e,1521
l,1525
s,1530
space,1535
w,1547
i,1550
t,1556
h,1560
i,1568
t,1571
s,1578
space,1585
s,1597
w,1612
i,1629
f,1636
t,1644
space,1655
z,1671
i,1676
g,1684
z,1694
a,1702
g,1706
s,1712
space,1720
backspace,1728
comma,1739
space,1745
w,1748
h,1752
i,1758
l,1762
e,1768
space,1776
1,1787
9,1840
space,1846
b,1856
i,1863
r,1867
d,1875
s,1887
space,1895
f,1898
l,1903
a,1909
a,1914
o,1919
e,1925
d,1931
backspace,1939
backspace,1944
backspace,1949
backspace,1954
p,1968
p,1973
e,1982
d,1988
space,1994
o,2001
v,2004
e,2011
r,2014
h,2023
e,2027
a,2033
d,2039
comma,2047
space,2054
t,2059
h,2063
e,2068
i,2074
r,2077
space,2087
w,2099
i,2102
n,2106
s,2117
space,2122
c,2130
a,2138
s,2142
t,2148
i,2156
n,2161
g,2167
space,2173
q,2177
u,2181
i,2186
c,2191
k,2197
space,2205
w,2210
h,2217
s,2224
backspace,2244
backspace,2248
backspace,2252
backspace,2269
s,2276
h,2296
a,2301
d,2312
o,2319
w,2324
s,2334
period,2348
space,2354
i,2358
n,2363
space,2368
t,2372
h,2376
e,2383
space,2387
m,2393
e,2399
e,2407
backspace,2428
a,2437
d,2443
o,2450
w,2457
comma,2468
space,2474
1,2480
4,2487
space,2495
b,2502
backspace,2515
r,2523
a,2533
b,2539
i,2547
t,2554
w,2558
space,2563
backspace,2572
backspace,2577
backspace,2582
backspace,2586
b,2600
i,2604
t,2609
s,2614
space,2619
h,2631
o,2638
p,2647
p,2652
e,2656
d,2663
space,2669
q,2674
c,2683
r,2693
backspace,2699
backspace,2704
backspace,2710
a,2720
c,2729
r,2738
o,2749
s,2753
s,2756
space,2763
4,2782
3,2787
space,2795
c,2804
l,2809
s,2818
backspace,2832
u,2849
t,2861
e,2866
r,2869
w,2876
space,2882
o,2888
f,2892
backspace,2900
backspace,2906
backspace,2911
backspace,2915
s,2925
space,2932
o,2944
f,2950
space,2954
d,2967
a,2973
i,2978
s,2983
i,2992
e,2998
w,3005
comma,3014
space,3020
n,3026
i,3031
backspace,3040
backspace,3044
backspace,3050
backspace,3054
backspace,3059
w,3068
comma,3078
space,3085
n,3091
i,3096
backspace,3106
backspace,3111
backspace,3116
backspace,3127
backspace,3132
s,3147
space,3156
backspace,3174
comma,3191
space,3200
n,3205
i,3209
b,3230
b,3235
l,3239
i,3244
n,3250
g,3254
space,3261
o,3265
space,3273
1,3288
8,3311
space,3320
b,3328
l,3334
a,3339
d,3345
e,3351
s,3355
space,3363
o,3367
f,3373
space,3378
g,3393
r,3400
a,3408
s,3412
s,3417
comma,3424
space,3431
w,3434
h,3438
i,3443
l,3450
e,3454
space,3462
6,3479
2,3486
space,3494
b,3502
u,3522
t,3525
t,3530
e,3539
f,3549
i,3557
backspace,3576
