Key,Frame
a,107
m,123
i,128
d,134
space,143
t,151
h,155
e,161
space,165
b,174
backspace,278
v,290
i,297
b,326
r,332
a,338
n,344
t,349
space,354
f,363
e,369
s,377
t,382
i,387
v,391
a,396
l,403
space,419
o,424
n,430
space,438
j,441
u,447
n,452
e,459
space,468
5,476
t,484
h,490
space,496
backspace,513
comma,523
space,530
2,536
9,543
2,548
backspace,568
backspace,573
0,604
2,613
4,621
comma,639
space,648
7,654
space,660
l,670
i,677
v,682
e,689
l,696
y,703
space,711
m,717
u,725
s,732
i,737
c,746
i,751
a,756
n,761
s,766
space,771
p,778
l,787
a,794
y,802
e,806
d,813
space,822
t,826
u,833
n,839
e,845
w,851
space,856
f,865
r,871
o,877
backspace,892
backspace,897
backspace,902
backspace,909
backspace,912
s,928
space,936
f,942
r,948
o,953
m,959
space,966
a,974
space,981
t,988
o,996
space,1002
z,1011
period,1024
space,1030
c,1036
r,1045
o,1053
w,1057
d,1067
s,1074
space,1082
c,1091
h,1097
e,1111
e,1117
r,1123
e,1129
d,1136
space,1144
a,1152
s,1158
space,1164
8,1187
space,1195
z,1209
e,1219
b,1226
r,1233
a,1239
s,1245
space,1253
d,1259
a,1267
s,1272
h,1278
e,1282
d,1288
space,1295
p,1306
a,1314
s,1318
t,1330
space,1340
9,1375
space,1385
g,1396
l,1400
o,1406
w,1411
i,1416
n,1422
g,1428
space,1434
l,1442
a,1456
n,1462
t,1468
e,1477
r,1482
n,1487
s,1493
comma,1506
space,1513
w,1516
h,1521
i,1525
l,1532
e,1541
space,1549
3,1567
4,1594
5,1601
space,1608
b,1618
a,1626
l,1631
l,1637
o,1642
n,1648
s,1660
backspace,1680
backspace,1685
o,1705
n,1710
s,1717
space,1724
f,1730
l,1735
o,1741
a,1747
t,1751
e,1757
d,1764
space,1771
a,1777
b,1784
o,1792
v,1797
e,1806
space,1812
t,1818
h,1823
e,1829
space,1833
s,1841
c,1851
n,1860
n,1873
backspace,1888
backspace,1893
backspace,1898
e,1911
n,1918
c,1924
e,1930
backspace,1958
backspace,1963
e,1978
period,1986
space,1996
t,2003
h,2007
e,2012
space,2016
q,2022
u,2027
i,2032
c,2037
k,2042
space,2049
f,2053
o,2059
x,2064
space,2070
j,2081
u,2086
m,2092
p,2098
e,2106
d,2112
space,2121
o,2124
v,2130
e,2137
r,2143
space,2150
1,2158
2,2166
space,2175
l,2181
a,2189
z,2196
y,2205
space,2215
d,2220
o,2226
g,2230
s,2238
space,2247
6,2280
space,2289
t,2295
i,2301
m,2306
e,2312
s,2320
comma,2331
space,2338
b,2346
a,2354
r,2358
k,2363
i,2369
n,2377
g,2383
space,2390
l,2395
o,2401
u,2407
l,2414
d,2421
l,2430
backspace,2442
backspace,2448
backspace,2452
d,2468
l,2477
y,2483
space,2490
e,2503
a,2509
c,2521
h,2526
space,2532
t,2539
i,2545
m,2551
e,2555
period,2567
space,2575
a,2580
n,2584
d,2590
backspace,2608
space,2615
o,2620
w,2624
l,2629
space,2643
h,2649
o,2655
o,2659
t,2663
e,2669
d,2675
space,2683
3,2696
space,2701
t,2708
i,2714
m,2719
e,2725
s,2731
space,2741
a,2750
s,2756
space,2761
0,2774
space,2782
f,2790
r,2796
o,2800
g,2805
s,2813
space,2819
h,2827
o,2835
p,2843
p,2847
e,2852
d,2859
space,2866
a,2875
l,2881
o,2887
n,2893
g,2899
space,2905
t,2910
h,2914
e,2921
space,2925
m,2933
u,2940
d,2946
d,2951
y,2959
space,2968
p,2975
a,2982
t,2987
h,2992
comma,3010
space,3017
o,3021
b,3027
s,3054
e,3062
r,3070
v,3078
i,3083
n,3088
g,3094
space,3101
t,3107
h,3112
e,3118
space,3123
s,3130
c,3138
a,3146
t,3150
t,3158
e,3164
r,3171
e,3175
d,3182
space,3191
p,3199
a,3203
e,3212
t,3218
backspace,3232
backspace,3237
backspace,3242
e,3257
t,3270
a,3278
l,3291
s,3297
space,3306
f,3315
space,3321
a,3327
space,3336
r,3345
a,3351
i,3357
b,3363
backspace,3385
n,3396
b,3407
o,3411
w,3416
space,3426
c,3433
o,3437
l,3444
o,3449
r,3454
e,3461
d,3466
space,3473
b,3480
o,3485
u,3490
q,3511
u,3523
e,3528
t,3536
period,3551
space,3558
b,3567
b,3598
backspace,3617
y,3627
space,3635
m,3655
i,3660
d,3665
n,3688
i,3695
g,3701
h,3704
t,3709
comma,3717
space,3724
8,3740
9,3747
space,3753
t,3762
w,3768
n,3788
k,3794
backspace,3821
backspace,3826
i,3849
n,3856
k,3864
l,3879
i,3884
n,3890
g,3895
space,3903
s,3910
t,3916
a,3923
r,3927
s,3933
space,3940
i,3948
l,3957
l,3962
u,3968
m,3989
i,3994
n,3999
a,4005
t,4009
e,4015
d,4022
space,4027
t,4031
h,4038
e,4042
space,4048
s,4057
t,4071
a,4082
g,4085
e,4092
space,4098
backspace,4122
comma,4132
space,4140
a,4145
d,4153
space,4162
5,4214
6,4222
7,4228
space,4235
p,4244
a,4252
r,4258
t,4263
y,4269
g,4291
o,4296
e,4304
r,4312
s,4324
space,4331
s,4338
s,4343
backspace,4362
a,4368
n,4374
g,4379
space,4390
i,4395
n,4401
space,4404
h,4408
a,4412
m,4431
o,4445
backspace,4458
backspace,4463
r,4482
m,4491
o,4495
n,4500
y,4509
comma,4520
space,4526
c,4532
l,4538
a,4543
p,4549
p,4554
i,4561
n,4567
g,4573
space,4578
a,4585
n,4588
d,4593
space,4600
s,4604
h,4609
o,4616
u,4620
t,4627
i,4631
n,4636
g,4640
space,4647
n,4651
u,4656
m,4663
b,4668
e,4675
r,4682
s,4691
space,4698
l,4703
i,4708
k,4714
e,4718
space,4726
1,4743
comma,4754
space,4763
2,4772
comma,4781
space,4792
3,4801
space,4808
backspace,4828
comma,4850
space,4857
a,4861
n,4865
d,4868
space,4873
4,4884
space,4890
w,4900
i,4904
t,4910
h,4916
space,4923
u,4937
n,4944
b,4964
r,4974
i,4981
d,4989
l,4996
e,5001
d,5007
space,5013
j,5022
o,5029
y,5034
comma,5043
space,5050
c,5057
l,5063
e,5068
backspace,5086
backspace,5091
e,5106
l,5113
e,5118
b,5127
r,5134
a,5139
t,5144
i,5147
n,5154
g,5159
space,5165
l,5170
i,5177
f,5181
e,5188
space,5191
t,5198
o,5201
space,5207
t,5213
h,5219
e,5224
space,5229
f,5236
u,5242
l,5249
l,5254
e,5259
s,5266
t,5271
period,5278
space,5287
