Key,Frame
b,149
e,156
n,183
e,215
a,222
t,228
h,232
e,235
space,241
t,247
h,250
e,257
backspace,269
backspace,275
backspace,280
backspace,285
backspace,296
space,308
t,317
h,323
e,327
space,332
b,341
r,349
i,353
g,357
h,362
t,366
space,373
e,392
v,400
e,405
n,408
i,418
n,423
g,429
space,436
s,443
k,449
y,458
comma,476
space,486
5,497
space,504
y,513
o,520
u,526
n,530
g,546
space,554
x,565
p,577
l,583
o,588
e,597
r,609
backspace,626
backspace,631
r,647
e,655
r,658
s,666
space,673
g,680
a,687
t,692
h,699
e,704
r,707
e,723
d,729
space,735
t,742
o,747
space,752
c,756
o,759
u,765
n,770
t,791
space,799
t,804
h,809
e,814
space,819
s,825
t,831
a,839
r,843
s,849
space,856
comma,873
backspace,886
backspace,891
comma,905
space,914
e,920
a,927
c,935
h,942
space,949
t,956
a,960
k,966
i,972
n,978
g,985
space,990
t,996
u,1000
r,1004
n,1010
s,1015
space,1022
n,1083
a,1088
m,1093
i,1100
n,1103
g,1110
space,1117
c,1132
n,1140
t,1146
backspace,1180
s,1196
t,1202
e,1212
l,1219
l,1223
a,1232
t,1238
i,1242
o,1248
n,1251
s,1259
space,1265
f,1271
r,1277
o,1280
m,1285
space,1294
a,1300
space,1306
t,1312
o,1319
z,1334
period,1353
space,1359
t,1363
h,1368
e,1373
space,1379
q,1386
u,1390
i,1394
c,1400
k,1404
space,1411
b,1419
r,1427
o,1434
w,1439
space,1445
space,1449
f,1455
o,1461
x,1465
backspace,1480
backspace,1486
backspace,1491
backspace,1497
backspace,1527
n,1540
space,1549
f,1556
o,1561
x,1564
space,1572
o,1584
e,1591
backspace,1608
backspace,1614
l,1635
e,1644
a,1650
p,1655
t,1662
backspace,1686
space,1697
g,1704
r,1710
a,1715
c,1722
e,1729
f,1742
u,1750
l,1757
l,1762
y,1768
space,1777
o,1782
v,1789
e,1794
r,1801
space,1805
7,1815
space,1821
backspace,1835
backspace,1839
backspace,1844
7,1879
space,1885
s,1893
c,1899
backspace,1926
l,1940
e,1950
e,1955
p,1963
i,1968
n,1975
backspace,1988
backspace,1992
y,2015
space,2022
d,2026
o,2030
g,2035
s,2041
comma,2054
space,2060
w,2065
h,2072
i,2077
l,2082
e,2089
space,2095
3,2102
space,2108
c,2116
h,2122
i,2128
r,2134
p,2141
i,2146
n,2152
g,2160
space,2164
c,2172
r,2182
i,2189
k,2195
backspace,2217
c,2225
k,2228
e,2235
t,2242
s,2254
space,2261
w,2266
e,2275
r,2280
e,2286
backspace,2300
backspace,2306
backspace,2310
backspace,2314
s,2330
e,2338
r,2345
e,2351
n,2360
d,2368
a,2378
t,2386
backspace,2397
backspace,2403
backspace,2407
a,2424
g,2429
backspace,2447
d,2460
e,2465
d,2472
space,2479
t,2483
h,2488
e,2491
space,2495
n,2501
i,2507
g,2511
h,2515
t,2518
period,2546
space,2552
i,2557
n,2562
space,2569
t,2574
h,2578
e,2584
space,2589
s,2598
i,2604
backspace,2628
backspace,2632
backspace,2637
space,2655
d,2663
i,2676
s,2683
t,2690
a,2695
n,2699
c,2703
e,2710
comma,2713
space,2720
1,2729
2,2739
space,2754
o,2771
w,2777
l,2782
s,2786
space,2798
h,2803
o,2809
o,2813
t,2818
e,2824
d,2829
comma,2848
space,2855
a,2861
n,2864
d,2871
space,2879
6,2899
space,2907
f,2915
r,2920
o,2926
g,2930
s,2937
space,2944
s,2950
p,2970
l,2978
a,2986
s,2999
h,3008
e,3015
d,3021
space,3027
i,3031
n,3038
space,3045
a,3051
space,3058
p,3077
o,3084
n,3089
d,3094
space,3106
r,3114
e,3120
f,3129
l,3136
e,3151
c,3158
t,3165
i,3169
n,3174
g,3179
space,3187
8,3195
9,3201
space,3206
t,3213
w,3218
i,3228
n,3234
k,3252
l,3259
i,3263
n,3270
g,3276
space,3285
s,3290
t,3295
a,3302
r,3306
s,3317
period,3328
space,3334
a,3340
r,3346
o,3350
u,3355
n,3360
d,3365
space,3372
t,3378
h,3383
e,3388
space,3393
c,3401
a,3406
m,3411
p,3433
f,3461
i,3464
r,3468
e,3475
space,3483
backspace,3496
comma,3515
space,3520
t,3525
h,3528
e,3533
y,3539
space,3545
s,3548
h,3553
a,3559
r,3569
e,3577
d,3586
space,3594
w,3598
t,3605
o,3609
backspace,3624
backspace,3630
backspace,3652
s,3665
t,3672
o,3677
r,3680
i,3692
e,3696
s,3704
space,3710
i,3715
f,3720
space,3727
backspace,3741
backspace,3747
backspace,3773
o,3791
f,3796
space,3803
t,3808
h,3813
e,3818
space,3823
3,3837
4,3844
5,3851
space,3858
a,3864
d,3872
v,3879
e,3886
n,3892
u,3901
r,3920
e,3924
s,3933
space,3940
t,3946
h,3950
e,3955
y,3961
space,3969
w,3975
o,3980
u,3985
l,3993
d,4000
space,4006
l,4013
backspace,4030
d,4047
r,4053
a,4059
e,4071
backspace,4083
backspace,4088
e,4107
a,4113
m,4121
e,4141
d,4147
space,4152
o,4163
f,4171
comma,4194
space,4201
o,4224
u,4233
n,4238
backspace,4252
backspace,4258
