Frame,Key
52,d
59,e
63,a
67,r
72,space
84,j
87,a
91,n
97,e
100,space
106,comma
112,delete
116,delete
123,comma
129,space
134,i
141,space
145,h
148,o
156,p
161,e
165,space
187,t
189,h
190,i
194,s
198,space
204,m
207,e
214,s
215,s
220,a
225,g
228,e
233,space
264,f
268,i
270,n
271,d
276,s
278,space
292,y
298,o
302,u
305,space
323,i
328,n
331,space
345,g
347,o
348,o
353,d
358,space
366,s
371,p
386,i
391,r
403,i
408,t
423,s
434,dot
437,space
446,i
452,space
454,a
457,m
459,space
462,w
470,e
474,r
482,delete
484,delete
485,r
487,i
491,t
494,i
499,n
501,g
503,space
511,t
515,o
518,space
521,u
527,p
531,d
537,a
543,e
551,delete
554,t
557,e
561,space
566,y
571,o
573,u
581,space
588,o
592,n
598,space
602,t
605,h
609,e
614,space
633,q
640,u
645,i
650,r
657,k
664,y
674,space
683,p
689,r
689,o
695,j
696,e
711,c
722,t
729,space
735,w
741,e
748,space
762,h
766,a
773,v
779,e
784,space
800,b
806,e
810,e
817,n
822,space
850,w
854,o
858,r
861,k
866,i
871,n
874,g
877,space
878,o
882,n
887,space
902,delete
917,space
920,dot
929,delete
933,delete
939,dot
943,space
960,t
963,h
969,e
969,space
976,t
981,a
986,s
992,k
998,space
1014,h
1018,a
1020,s
1024,space
1028,b
1036,e
1041,e
1046,n
1048,space
1053,q
1057,u
1059,i
1063,t
1066,e
1073,space
1107,c
1110,h
1115,a
1128,l
1133,l
1137,e
1141,n
1144,g
1149,i
1154,n
1157,g
1161,space
1182,delete
1189,comma
1195,space
1199,w
1201,i
1206,t
1208,h
1214,space
1216,m
1221,a
1233,n
1240,y
1247,space
1264,t
1268,r
1272,i
1277,c
1283,k
1288,l
1295,y
1301,space
1308,a
1312,s
1319,p
1325,e
1333,c
1340,t
1343,s
1349,space
1373,t
1375,h
1376,a
1376,t
1381,space
1399,r
1400,e
1405,q
1409,u
1414,i
1416,r
1420,e
1450,d
1453,space
1460,a
1467,space
1476,g
1482,r
1489,e
1499,a
1502,t
1506,e
1516,space
1531,delete
1536,delete
1541,space
1545,d
1550,e
1554,a
1558,l
1566,space
1591,o
1592,f
1598,space
1602,p
1606,r
1612,e
1622,c
1626,i
1630,s
1634,i
1639,o
1645,n
1657,space
1670,a
1676,n
1680,d
1697,space
1710,e
1717,x
1723,p
1726,e
1729,r
1736,t
1740,i
1744,e
1748,s
1759,delete
1763,delete
1766,s
1772,e
1800,dot
1805,space
1810,o
1815,u
1819,r
1823,space
1829,t
1833,e
1838,a
1844,m
1847,space
1879,i
1885,n
1890,c
1893,l
1900,u
1904,d
1910,e
1913,i
1918,n
1922,delete
1926,delete
1930,delete
1936,i
1942,n
1943,g
1948,space
1981,j
1986,a
1991,c
1997,k
2003,space
2012,a
2017,n
2020,d
2024,space
2031,z
2036,a
2043,r
2048,a
2075,comma
2080,space
2086,h
2088,a
2091,s
2098,space
2104,b
2110,e
2114,e
2120,n
2126,space
2131,d
2141,i
2149,l
2155,i
2166,g
2170,e
2175,n
2179,t
2183,l
2191,y
2201,space
2222,a
2228,d
2232,d
2237,r
2239,e
2247,s
2253,s
2259,i
2265,n
2269,g
2276,space
2298,t
2299,h
2302,e
2308,r
2308,e
2320,delete
2325,delete
2328,s
2333,e
2339,space
2348,c
2353,o
2357,m
2361,p
2367,l
2372,e
2382,x
2388,space
2399,i
2402,s
2406,s
2408,u
2413,e
2420,s
2449,dot
2454,space
2459,r
2460,e
2465,c
2469,e
2473,n
2476,t
2481,l
2488,y
2497,space
2505,delete
2513,comma
2519,space
2524,w
2529,e
2535,space
2557,e
2562,n
2567,t
2580,delete
2582,c
2587,o
2591,o
2602,delete
2606,u
2613,n
2615,t
2622,e
2625,r
2631,e
2636,d
2643,space
2665,a
2672,space
2685,c
2696,delete
2707,f
2718,e
2731,w
2740,space
2758,u
2764,n
2777,e
2785,x
2791,p
2797,e
2803,c
2808,t
2814,l
2826,delete
2829,e
2835,d
2843,space
2864,b
2867,u
2873,g
2879,s
2884,space
2892,t
2895,h
2897,a
2899,t
2905,space
2909,l
2919,d
2930,delete
2933,e
2939,d
2943,space
2946,t
2950,o
2953,space
2978,s
2982,o
2987,m
2991,e
2996,space
3005,c
3007,o
3011,n
3015,f
3021,u
3034,s
3038,i
3043,o
3047,n
3078,dot
3084,space
3089,h
3091,o
3092,w
3095,e
3106,v
3111,e
3114,r
3123,comma
3129,space
3132,t
3136,h
3141,a
3144,n
3148,k
3152,s
3157,space
3161,t
3165,o
3169,space
3183,q
3190,u
3192,i
3197,c
3204,k
3213,space
3232,f
3237,i
3242,n
3246,d
3249,i
3254,n
3256,g
3263,space
3297,delete
3301,delete
3306,delete
3310,delete
3315,delete
3319,delete
3323,delete
3327,delete
3337,t
3340,h
3344,i
3348,n
3351,k
3361,n
3370,delete
3373,i
3378,n
3382,g
3387,space
3393,a
3398,n
3401,d
3406,space
3420,e
3428,f
3433,f
3436,e
3445,c
3451,t
3462,i
3478,v
3486,e
3491,space
3531,t
3534,r
3538,o
3543,u
3546,b
3557,l
3562,e
3572,space
3578,s
3585,delete
3589,delete
3590,s
3596,h
3601,o
3605,o
3610,i
3617,n
3621,delete
3625,delete
3628,t
3630,i
3637,n
3639,g
3647,space
3659,delete
3663,comma
3670,space
3677,w
3682,e
3686,space
3694,m
3697,a
3701,n
3705,g
3709,e
3722,delete
3731,delete
3737,a
3741,g
3745,e
3751,space
3759,delete
3763,d
3768,space
3771,t
3774,o
3777,space
3795,o
3800,v
3806,e
3811,r
3820,c
3822,o
3827,m
3830,e
3834,space
3838,t
3840,h
3847,e
3854,s
3859,e
3864,space
3867,p
3871,r
3874,o
3885,e
3896,delete
3902,b
3906,l
3909,e
3914,m
3922,s
3929,space
3949,delete
3968,dot
3974,space
3978,t
3980,h
3984,e
3987,space
3993,p
3995,r
3999,o
4006,j
4015,e
4022,c
4028,t
4034,s
4038,space
4072,s
4083,u
4089,c
4094,c
4107,delete
4161,delete
4176,c
4180,c
4187,e
4193,s
4197,s
4203,space
4222,r
4225,e
4231,l
4236,i
4238,e
4243,s
4250,space
4255,h
4258,a
4262,e
4271,delete
4274,delete
4274,e
4280,a
4287,v
4300,l
4311,delete
4317,i
4322,l
4330,y
4336,space
4362,o
4366,n
4372,space
4380,a
4385,c
4389,c
4394,u
4398,r
4401,a
4405,t
4406,e
4411,space
4503,e
4510,x
4516,e
4525,c
4531,u
4540,t
4544,i
4549,o
4553,n
4560,space
4593,a
4599,n
4601,d
4606,space
4610,c
4618,e
4627,a
4634,delete
4638,delete
4642,a
4645,r
4646,e
4654,f
4661,u
4667,l
4671,space
4697,a
4698,n
4699,a
4709,l
4719,y
4726,s
4732,i
4736,s
4766,comma
4772,space
4776,a
4781,n
4784,d
4789,space
4798,w
4803,e
4808,space
4826,a
4829,r
4832,e
4836,space
4853,p
4859,l
4865,e
4870,a
4875,s
4879,e
4884,d
4890,space
4895,t
4901,o
4906,space
4936,r
4939,e
4947,p
4950,o
4954,r
4959,t
4966,space
4989,s
4992,i
4997,g
5000,n
5008,i
5024,f
5028,i
5034,c
5039,a
5044,n
5048,t
5053,space
5081,p
5086,r
5088,o
5095,g
5101,r
5105,e
5111,s
5115,s
5155,dot
5162,space
5165,t
5169,h
5173,e
5176,space
5182,p
5187,r
5190,o
5194,j
5199,e
5205,c
5213,t
5220,space
5236,i
5241,v
5247,l
5261,delete
5269,delete
5275,n
5283,v
5286,o
5292,l
5298,e
5310,delete
5312,v
5317,e
5322,s
5327,space
5367,e
5374,x
5380,t
5385,e
5394,n
5398,s
5399,i
5402,v
5407,e
5411,space
5420,u
5424,s
5425,e
5430,space
5433,o
5437,f
5441,space
5454,i
5462,n
5471,n
5477,o
5500,v
5504,a
5509,t
5513,i
5531,v
5538,e
5542,space
5569,e
5579,delete
5582,t
5586,e
5593,c
5597,h
5604,n
5608,o
5616,l
5622,o
5625,g
5629,i
5634,e
5640,s
5644,space
5670,a
5674,n
5677,d
5680,space
5685,a
5695,d
5703,v
5707,a
5712,n
5716,c
5722,e
5728,d
5739,space
5754,a
