Frame,Key
18,a
23,p
27,p
33,l
39,e
59,comma
68,space
78,a
82,n
87,t
91,space
102,delete
108,comma
112,space
129,a
133,r
141,t
146,i
149,e
155,s
166,delete
167,delete
168,s
174,t
180,comma
186,space
212,a
219,i
222,r
231,p
235,a
252,delete
257,l
261,a
264,n
271,space
282,delete
287,e
292,comma
296,space
319,a
323,r
329,r
333,o
336,w
342,comma
347,space
365,a
372,d
378,v
382,a
387,n
393,t
398,delete
403,delete
408,delete
425,e
429,n
433,t
440,r
442,u
447,e
457,delete
462,delete
466,delete
470,u
476,r
478,e
504,comma
511,space
516,a
524,r
532,m
537,o
539,r
548,comma
553,space
567,a
571,l
578,e
588,delete
594,i
597,e
601,n
624,comma
630,space
631,a
638,v
645,e
651,n
658,u
662,e
670,comma
676,space
706,a
710,n
722,c
725,h
729,a
735,r
746,delete
751,delete
757,o
761,r
765,comma
770,space
833,b
836,a
841,n
845,a
874,n
878,a
899,comma
905,space
912,b
917,o
922,a
926,t
932,space
947,delete
954,comma
961,space
965,b
970,r
974,i
979,d
984,g
987,e
994,comma
999,space
1020,b
1025,u
1029,t
1035,t
1040,e
1043,r
1052,f
1067,l
1074,y
1084,comma
1093,space
1105,b
1107,a
1117,l
1121,l
1125,o
1132,n
1140,comma
1162,delete
1165,delete
1170,o
1176,n
1184,comma
1197,space
1217,b
1222,u
1226,t
1230,t
1236,o
1242,n
1259,comma
1264,space
1270,b
1276,a
1281,k
1288,e
1292,r
1303,y
1327,comma
1334,space
1337,b
1344,r
1349,e
1371,e
1383,z
1387,e
1397,comma
1404,space
1443,b
1451,r
1456,a
1462,c
1469,e
1474,l
1477,e
1483,t
1498,comma
1504,space
1516,b
1523,i
1532,c
1535,y
1558,c
1562,l
1570,e
1579,comma
1585,space
1645,c
1656,a
1661,r
1673,comma
1678,space
1684,c
1692,a
1695,t
1706,comma
1712,space
1727,b
1739,delete
1741,c
1745,i
1748,r
1757,c
1765,l
1769,e
1774,comma
1778,space
1799,c
1803,a
1809,s
1822,t
1827,l
1828,e
1834,comma
1838,space
1860,b
1873,delete
1876,c
1882,l
1890,o
1895,u
1901,n
1913,delete
1916,d
1925,comma
1929,space
1937,c
1942,a
1946,n
1949,d
1954,l
1958,e
1963,comma
1968,space
1991,c
1995,a
1998,n
2022,delete
2029,m
2034,e
2037,r
2043,a
2051,comma
2056,space
2076,c
2078,h
2082,a
2090,i
2095,r
2102,comma
2108,space
2120,c
2139,l
2145,o
2148,c
2151,k
2156,comma
2158,space
2181,c
2188,a
2193,c
2204,t
2210,u
2213,s
2219,comma
2227,space
2273,d
2275,o
2282,g
2287,comma
2295,space
2302,d
2305,o
2310,l
2318,u
2326,delete
2334,p
2339,h
2342,i
2347,n
2366,comma
2378,space
2406,d
2412,r
2417,a
2426,g
2431,o
2436,n
2441,comma
2444,space
2481,d
2486,d
2499,delete
2504,o
2509,o
2515,r
2519,comma
2525,space
2545,d
2549,i
2552,a
2560,n
2577,delete
2583,m
2587,o
2591,n
2597,d
2610,comma
2618,space
2695,d
2696,a
2701,n
2703,c
2703,e
2709,r
