Frame,Key
72,g
79,o
81,o
84,d
89,space
100,a
104,f
113,t
118,e
122,r
130,n
136,o
142,o
145,n
182,dot
190,space
192,t
197,h
199,e
202,space
210,b
213,o
218,a
220,r
224,d
229,space
236,o
240,f
242,space
247,d
252,i
257,r
264,e
270,c
277,t
278,o
283,r
295,s
301,space
314,m
319,e
326,e
330,t
335,i
341,n
344,g
348,s
354,space
359,h
363,a
365,v
370,e
373,space
379,b
387,e
396,n
407,delete
412,e
418,n
425,space
434,c
444,delete
447,s
452,c
455,h
462,e
472,d
478,u
494,l
498,e
505,d
511,space
527,a
531,s
536,space
541,f
550,o
552,l
556,l
562,o
565,w
572,s
582,space
602,j
610,u
631,delete
637,a
642,n
649,u
653,r
656,a
665,r
670,y
676,space
691,delete
696,delete
701,delete
705,delete
710,delete
715,a
717,r
723,y
728,space
737,p
740,r
744,o
760,delete
763,e
771,v
775,i
780,o
786,u
791,s
795,l
802,y
808,space
816,c
819,o
824,n
828,f
837,i
847,r
856,m
861,e
865,d
872,space
882,m
885,a
892,y
898,space
917,j
923,u
934,b
948,delete
954,l
960,y
975,space
981,o
986,c
993,t
996,o
1005,b
1012,e
1016,r
1024,space
1058,delete
1077,dot
1084,space
1097,t
1104,h
1110,e
1115,space
1120,t
1126,i
1132,m
1137,e
1143,space
1162,o
1167,f
1172,space
1175,e
1187,c
1195,delete
1209,a
1214,c
1221,h
1227,space
1232,m
1234,e
1240,e
1245,t
1250,i
1256,n
1260,g
1266,space
1290,w
1293,i
1297,l
1302,l
1305,space
1308,b
1314,e
1319,space
1326,a
1332,m
1337,space
1341,t
1345,o
1350,space
1372,n
1378,o
1382,o
1390,n
1397,space
1408,delete
1422,space
1429,h
1437,delete
1442,delete
1450,comma
1456,space
1460,h
1465,o
1469,w
1475,e
1483,v
1484,e
1486,r
1495,comma
1499,space
1511,l
1524,delete
1528,f
1531,u
1538,r
1546,t
1552,h
1556,e
1561,r
1568,space
1586,l
1591,o
1595,g
1599,i
1603,s
1608,t
1609,i
1617,c
1622,a
1626,l
1634,space
1650,d
1655,e
1669,a
1677,delete
1681,t
1685,a
1688,i
1694,l
1697,s
1704,space
1724,w
1729,i
1736,l
1740,l
1744,space
1749,b
1755,e
1760,space
1784,a
1788,n
1789,n
1796,o
1801,u
1806,n
1816,c
1820,e
1826,d
1833,space
1854,a
1858,t
1864,space
1869,a
1876,space
1896,l
1902,a
1907,t
1915,e
1920,r
1930,space
1935,d
1939,a
1942,t
1949,a
1951,e
1958,delete
1960,delete
1966,e
1974,space
1995,p
2000,r
2004,o
2010,i
2017,delete
2022,delete
2026,i
2031,o
2034,r
2042,space
2047,t
2053,o
2055,space
2060,e
2066,a
2075,c
2081,h
2085,space
2091,m
2095,e
2100,e
2103,t
2106,i
2112,n
2116,g
2146,dot
2152,space
2157,p
2165,l
2167,e
2174,a
2180,s
2186,e
2191,space
2199,f
2205,e
2210,e
2215,l
2221,space
2229,f
2233,r
2239,e
2244,e
2255,space
2263,t
2269,o
2276,space
2293,c
2296,o
2301,n
2305,t
2313,e
2321,c
2330,delete
2335,delete
2337,a
2342,c
2349,t
2356,space
2378,e
2381,i
2385,t
2388,h
2394,e
2398,r
2403,space
2408,k
2413,e
2415,i
2428,t
2430,h
2437,space
2464,l
2468,a
2472,r
2477,n
2490,e
2496,y
2504,space
2520,a
2536,t
2545,comma
2550,space
2555,o
2560,r
2566,space
2571,m
2575,e
2581,space
2624,i
2629,f
2634,space
2645,y
2653,o
2654,u
2664,space
2667,s
2671,h
2676,o
2679,u
2685,l
2689,d
2695,space
2720,h
2722,a
2738,v
2745,e
2752,space
2783,a
2787,n
2795,y
2801,space
2810,q
2815,u
2820,e
2826,s
2831,t
2835,i
2839,o
2845,n
2850,s
2875,dot
2881,space
2884,t
2889,h
2893,a
2897,n
2902,k
2909,space
2914,y
2917,o
2920,u
2942,dot
