Frame,Key
46,d
53,e
59,a
62,r
69,space
73,k
77,e
81,n
86,space
95,delete
102,comma
107,space
110,f
114,i
117,r
123,s
129,t
134,space
140,o
143,f
147,f
176,comma
181,space
185,i
192,a
203,delete
208,space
212,h
215,a
217,v
223,e
226,space
233,a
236,space
240,f
247,r
253,i
255,e
256,n
259,d
265,space
278,w
282,h
286,o
291,space
296,i
299,s
306,space
312,s
314,e
317,t
323,t
325,i
332,n
338,g
343,space
347,u
353,p
355,space
360,a
366,space
371,p
375,l
389,a
394,n
398,t
407,space
416,i
422,n
428,space
434,c
436,o
439,r
470,c
476,o
481,n
484,r
487,a
496,n
502,space
530,n
535,o
540,r
548,t
549,h
555,e
562,r
567,n
573,space
589,c
595,a
601,l
606,i
611,f
636,dot
641,space
646,t
651,o
656,space
665,m
669,a
686,n
693,u
711,f
715,a
722,c
728,t
734,u
735,r
738,e
745,space
763,a
769,space
777,w
782,e
789,l
792,d
798,e
803,d
810,space
839,r
843,e
865,i
871,n
874,f
879,o
882,r
897,m
907,delete
911,c
917,e
920,m
923,e
927,n
932,t
940,space
961,g
968,r
979,i
982,d
987,space
1001,b
1008,u
1012,i
1017,l
1026,i
1027,d
1046,delete
1051,delete
1053,d
1057,i
1062,n
1067,g
1073,space
1090,s
1095,u
1099,t
1110,delete
1114,delete
1124,t
1130,r
1134,u
1139,c
1144,t
1149,u
1150,r
1158,e
1166,space
1180,s
1188,s
1199,delete
1204,y
1206,s
1219,t
1224,e
1227,m
1228,s
1238,space
1258,delete
1263,dot
1266,space
1271,t
1273,h
1276,e
1285,y
1291,space
1295,w
1307,e
1316,i
1338,delete
1342,delete
1348,i
1357,l
1361,l
1365,space
1370,n
1377,e
1382,e
1388,d
1394,space
1402,v
1407,a
1415,m
1419,p
1448,space
1451,s
1458,e
1463,r
1477,u
1483,delete
1485,v
1488,i
1492,c
1499,e
1520,dot
1524,space
1525,i
1527,space
1532,s
1537,u
1546,g
1551,g
1554,e
1560,s
1565,t
1570,e
1575,d
1576,space
1582,t
1588,h
1589,a
1590,t
1594,space
1603,t
1606,h
1610,e
1616,y
1621,space
1629,w
1634,o
1639,u
1647,l
1661,d
1666,space
1671,b
1677,e
1681,space
1686,b
1689,e
1695,t
1700,t
1706,e
1710,r
1717,space
1736,o
1741,f
1745,space
1754,m
1763,a
1776,k
1777,i
1783,n
1787,g
