Frame,Key
52,t
60,h
68,e
74,space
81,f
85,i
91,v
98,e
105,space
119,b
124,o
129,x
134,i
140,n
145,g
150,space
171,w
175,i
184,z
197,r
213,delete
235,a
241,r
248,d
254,s
261,space
297,j
301,u
309,m
313,p
322,space
336,q
341,u
352,i
356,c
360,k
363,l
368,y
372,space
379,delete
384,comma
400,dot
406,space
416,p
420,a
424,c
428,k
435,space
442,m
448,y
458,space
464,b
469,o
475,x
480,space
486,w
487,i
493,t
498,h
503,space
512,f
521,i
524,v
531,e
536,space
555,d
561,o
573,z
577,e
580,n
587,space
606,l
608,i
615,q
619,u
622,i
634,delete
640,o
649,r
656,space
690,j
696,u
702,g
708,s
716,comma
722,dot
729,space
760,g
763,o
769,space
776,l
782,a
786,z
792,y
801,space
807,f
811,a
816,t
824,space
843,v
850,i
863,x
871,e
876,n
879,space
888,b
893,e
898,space
910,s
914,h
918,r
923,e
948,w
954,e
959,d
965,space
982,j
989,u
996,m
1000,p
1030,space
1043,q
1050,u
1055,i
1073,c
1079,k
1085,l
1090,y
1132,comma
1140,dot
1145,dot
1154,space
1175,w
1180,h
1185,e
1189,n
1195,space
1220,z
1229,o
1232,o
1234,m
1244,b
1254,i
1258,e
1265,s
1271,space
1299,z
1314,delete
1323,a
1332,r
1337,r
1341,i
1344,v
1351,e
1355,s
1360,space
1384,delete
1391,comma
1396,space
1409,q
1411,u
1413,i
1416,c
1418,k
1427,l
1433,y
1441,space
1457,f
1459,a
1460,c
1462,e
1465,space
1484,f
1493,delete
1494,j
1496,u
1503,g
1520,e
1561,delete
1568,d
1582,e
1592,space
1613,p
1616,a
1621,t
1627,comma
1635,space
1656,delete
1664,dot
1670,space
1693,a
1700,m
1703,a
1720,z
1725,i
1731,n
1734,g
1743,l
1750,y
1759,space
1764,f
1769,i
1773,e
1779,delete
1784,delete
1786,e
1792,w
1800,space
1821,d
1823,i
1824,s
1835,c
1836,o
1839,t
1844,h
1851,e
1889,q
1895,u
1900,e
1906,s
1916,space
1942,q
1950,p
1954,delete
1959,delete
1966,p
1971,r
1974,o
1981,v
1982,i
1986,d
1992,e
1998,space
2024,j
2030,u
2037,k
2041,e
2047,space
2055,b
