Key,Frame
shift_r,176
b,183
e,201
space,206
backspace,218
n,225
e,234
a,239
t,242
h,246
space,250
t,255
h,258
e,261
space,264
b,270
r,276
i,278
g,283
h,287
t,293
space,300
e,310
v,316
e,321
n,324
i,330
n,334
g,335
space,340
s,345
k,351
e,355
backspace,367
y,372
comma,379
space,384
4,406
backspace,414
5,418
space,423
y,433
o,438
u,442
n,448
d,452
backspace,462
g,465
space,468
e,474
x,481
p,487
l,493
o,499
r,500
e,514
r,519
s,524
space,529
g,537
a,541
t,546
h,552
e,557
r,560
e,570
d,576
space,579
t,584
o,588
space,590
c,596
o,601
u,604
n,612
t,614
space,618
t,621
h,624
e,628
space,631
s,636
t,643
a,647
r,662
s,671
space,676
backspace,687
comma,693
space,701
e,705
a,710
c,716
h,720
space,724
t,731
a,737
k,742
i,748
n,753
g,756
space,759
t,763
u,767
r,771
n,775
s,781
space,786
n,800
a,804
m,808
i,814
n,818
g,820
space,824
s,828
backspace,840
c,843
o,846
n,850
s,852
t,857
e,866
l,872
l,876
a,879
t,883
i,885
o,889
n,892
s,898
space,902
f,910
r,916
o,918
m,924
space,928
shift_r,939
a,943
space,950
t,956
o,959
space,964
shift_r,971
z,974
period,986
space,990
shift_r,996
t,999
h,1007
e,1011
space,1015
q,1033
u,1040
i,1044
c,1053
k,1056
space,1070
b,1077
r,1083
o,1089
w,1097
space,1107
n,1110
backspace,1119
backspace,1123
n,1130
space,1132
f,1136
o,1141
x,1144
space,1150
k,1159
e,1163
a,1168
backspace,1178
backspace,1183
backspace,1187
l,1199
e,1205
a,1209
p,1215
t,1219
space,1234
g,1243
r,1262
a,1268
c,1276
e,1283
f,1292
u,1300
l,1307
l,1312
y,1318
space,1324
o,1330
v,1332
e,1341
r,1344
space,1347
7,1383
space,1388
s,1393
l,1408
i,1438
backspace,1452
e,1457
e,1461
p,1468
y,1477
space,1490
d,1496
o,1500
g,1504
s,1508
comma,1515
space,1519
w,1522
h,1527
i,1530
l,1537
e,1542
space,1546
3,1553
space,1560
c,1570
h,1574
r,1579
i,1584
backspace,1593
backspace,1598
i,1603
r,1606
p,1610
i,1616
n,1622
g,1624
space,1628
c,1634
r,1639
k,1650
backspace,1659
i,1663
c,1667
k,1671
e,1675
t,1680
s,1686
space,1690
s,1695
e,1700
r,1706
e,1720
n,1728
d,1733
backspace,1750
a,1753
d,1756
e,1763
d,1768
space,1772
t,1778
h,1781
e,1784
space,1785
n,1791
i,1797
g,1799
h,1804
t,1808
period,1816
space,1819
shift,1831
i,1834
n,1841
space,1846
t,1850
h,1855
e,1859
space,1863
d,1869
i,1872
s,1877
t,1888
a,1893
c,1899
e,1906
backspace,1917
backspace,1920
n,1927
c,1930
e,1937
space,1940
backspace,1954
space,1968
backspace,1977
comma,1984
space,1989
1,1994
2,1999
space,2005
o,2014
w,2018
l,2022
s,2028
space,2033
h,2040
o,2044
o,2048
t,2051
e,2056
d,2062
comma,2069
space,2073
a,2077
n,2081
d,2084
space,2088
6,2115
space,2121
f,2127
r,2132
o,2135
g,2140
s,2144
space,2148
s,2161
p,2166
a,2171
l,2177
backspace,2186
backspace,2190
l,2196
a,2198
h,2206
backspace,2220
s,2226
h,2230
e,2235
d,2239
space,2244
i,2247
n,2253
space,2254
a,2259
space,2264
p,2275
o,2280
n,2285
d,2290
space,2296
f,2301
r,2309
backspace,2317
backspace,2322
r,2325
e,2330
f,2336
l,2343
e,2349
c,2355
t,2360
i,2364
n,2370
g,2372
space,2374
8,2391
9,2401
space,2408
t,2416
w,2422
i,2435
n,2441
k,2446
l,2461
i,2467
n,2472
g,2475
space,2477
s,2483
t,2488
a,2493
r,2498
s,2504
period,2515
space,2519
shift_r,2526
a,2527
n,2538
backspace,2553
r,2557
o,2561
u,2565
n,2571
d,2573
space,2576
t,2580
e,2586
backspace,2597
h,2602
e,2604
space,2608
c,2614
a,2619
m,2625
p,2631
f,2646
i,2649
r,2654
e,2659
comma,2666
space,2670
t,2672
h,2676
e,2678
y,2683
space,2689
s,2694
h,2699
a,2701
r,2706
e,2711
d,2718
space,2720
s,2725
t,2732
o,2736
r,2751
i,2756
e,2760
s,2766
space,2771
o,2775
f,2778
space,2782
t,2791
h,2794
e,2797
space,2800
3,2834
4,2839
5,2846
space,2850
a,2862
d,2866
v,2874
e,2880
t,2888
backspace,2901
n,2908
t,2912
u,2918
r,2921
e,2926
s,2939
space,2943
h,2953
e,2957
backspace,2970
backspace,2974
t,2978
h,2984
e,2990
y,2994
space,2999
w,3006
o,3010
u,3014
l,3020
d,3024
space,3028
d,3035
r,3041
a,3045
m,3049
backspace,3063
backspace,3067
e,3074
a,3080
m,3084
e,3089
d,3095
space,3099
o,3103
f,3106
space,3110
backspace,3118
comma,3124
space,3128
p,3134
u,3138
n,3144
c,3147
t,3155
a,3162
u,3166
backspace,3174
backspace,3178
u,3183
a,3186
t,3189
e,3193
d,3198
space,3203
b,3207
y,3210
space,3213
l,3220
a,3222
u,3226
g,3229
h,3234
t,3238
e,3242
r,3245
space,3248
a,3259
n,3264
d,3267
space,3269
s,3274
backspace,3281
t,3285
h,3288
e,3292
space,3294
s,3299
o,3305
u,3309
n,3316
d,3319
space,3323
o,3327
f,3331
space,3335
0,3355
space,3362
w,3369
o,3372
r,3379
r,3384
e,3388
s,3394
backspace,3407
backspace,3412
i,3417
s,3421
space,3424
backspace,3437
backspace,3442
e,3456
s,3462
space,3465
i,3471
n,3477
space,3479
t,3484
h,3486
e,3488
space,3491
w,3496
o,3501
r,3530
l,3536
d,3544
period,3553
space,3559
shift_r,3565
b,3571
y,3580
space,3583
m,3589
i,3595
d,3598
i,3623
backspace,3633
n,3639
i,3644
h,3650
backspace,3662
g,3667
h,3671
t,3674
space,3679
backspace,3686
comma,3693
space,3697
t,3704
h,3710
e,3712
y,3718
space,3723
a,3729
h,3734
backspace,3742
backspace,3747
h,3751
a,3754
d,3760
space,3765
c,3768
o,3771
u,3776
n,3782
t,3784
e,3789
d,3793
space,3796
6,3826
7,3836
8,3850
space,3859
g,3866
l,3871
o,3876
w,3880
i,3883
n,3887
g,3888
space,3893
f,3897
i,3902
r,3905
e,3909
f,3918
l,3922
i,3927
e,3930
s,3934
space,3942
a,3946
n,3951
d,3953
space,3956
m,3961
a,3963
r,3968
v,3981
e,3991
d,4006
backspace,4020
l,4026
e,4029
d,4034
space,4038
a,4043
t,4048
space,4050
h,4055
o,4059
m,4068
w,4077
backspace,4090
backspace,4095
w,4101
space,4105
n,4112
a,4115
t,4120
u,4123
r,4126
e,4130
comma,4141
space,4146
l,4151
i,4156
k,4163
e,4169
space,4173
n,4184
u,4191
m,4197
b,4201
e,4206
r,4210
s,4215
space,4219
backspace,4229
comma,4236
space,4241
a,4252
l,4257
w,4262
a,4268
y,4273
s,4278
space,4283
f,4287
o,4293
