Key,Frame
a,117
shift,119
t,140
space,145
d,150
o,154
w,156
a,165
backspace,171
backspace,176
a,180
backspace,192
backspace,197
a,200
w,205
n,210
comma,227
space,231
4,251
space,257
backspace,268
backspace,274
5,280
space,290
c,305
u,310
r,315
i,325
s,332
o,335
u,339
backspace,346
backspace,350
backspace,355
o,362
u,365
s,368
l,375
backspace,385
space,391
c,393
h,396
i,399
l,405
d,410
r,418
e,421
n,428
space,434
w,439
a,447
n,449
d,464
e,471
r,476
e,477
d,485
space,490
i,496
n,501
t,510
o,512
space,517
t,523
h,526
e,529
space,534
c,540
backspace,552
e,556
n,560
c,576
h,579
a,585
t,590
e,593
d,599
space,604
backspace,611
backspace,616
backspace,621
backspace,632
n,638
t,644
e,660
d,666
space,671
f,676
o,682
r,685
e,697
a,703
s,707
backspace,715
backspace,721
s,724
t,732
space,737
backspace,747
comma,755
space,761
g,767
u,771
i,776
l,787
d,792
e,801
backspace,809
backspace,813
backspace,818
d,828
e,833
d,840
space,845
b,850
y,856
space,861
a,866
space,871
t,880
r,887
a,890
i,893
l,900
space,906
m,928
a,931
r,935
k,937
e,941
d,948
space,954
w,969
i,971
t,977
h,982
space,986
l,991
e,993
t,999
t,1004
e,1010
r,1014
s,1020
space,1026
a,1041
shift,1047
backspace,1061
a,1116
shift,1119
space,1127
t,1135
o,1138
space,1143
backspace,1153
backspace,1157
r,1164
backspace,1179
h,1207
r,1217
o,1222
u,1225
g,1230
h,1233
space,1238
z,1265
shift,1267
space,1284
backspace,1290
period,1299
space,1305
shift,1316
t,1316
h,1322
e,1327
space,1332
q,1339
u,1343
i,1347
c,1352
k,1357
space,1367
b,1384
r,1391
o,1396
w,1399
space,1411
backspace,1419
n,1428
space,1433
f,1438
o,1442
x,1448
space,1453
f,1463
backspace,1474
p,1480
l,1487
y,1497
backspace,1506
a,1509
y,1512
f,1523
u,1528
l,1534
l,1540
y,1547
space,1563
d,1572
a,1580
r,1584
k,1593
backspace,1601
t,1605
e,1608
d,1614
space,1619
b,1627
e,1634
t,1638
w,1644
e,1648
e,1654
n,1662
space,1667
7,1689
space,1706
a,1715
n,1721
d,1725
space,1730
backspace,1738
backspace,1743
backspace,1749
backspace,1757
t,1763
o,1768
w,1771
e,1788
r,1790
i,1794
n,1799
g,1803
space,1808
t,1822
r,1827
e,1829
e,1834
s,1842
space,1848
backspace,1855
comma,1862
space,1866
w,1869
h,1873
i,1876
l,1882
e,1886
space,1894
6,1913
space,1924
f,1930
r,1935
o,1955
g,1958
s,1963
space,1968
l,1987
e,2002
a,2007
p,2010
t,2015
e,2018
d,2025
space,2032
backspace,2037
backspace,2042
backspace,2046
space,2057
i,2066
n,2071
t,2074
o,2079
space,2083
a,2096
space,2102
0,2121
space,2129
d,2138
e,2144
g,2151
r,2157
e,2159
e,2165
space,2174
c,2185
r,2192
y,2203
s,2210
t,2217
a,2224
l,2228
space,2234
c,2241
l,2246
e,2251
a,2254
r,2257
space,2266
p,2275
o,2284
u,2291
backspace,2303
n,2310
d,2314
period,2322
space,2327
shift,2337
o,2338
v,2342
e,2349
r,2352
h,2369
e,2372
a,2377
d,2383
space,2390
backspace,2397
comma,2407
space,2414
0,2439
space,2447
backspace,2453
backspace,2458
9,2469
space,2476
s,2506
p,2512
a,2519
r,2528
r,2542
o,2548
w,2549
s,2556
space,2563
c,2587
h,2592
i,2612
r,2617
p,2628
e,2633
d,2640
space,2644
a,2647
s,2651
space,2655
t,2661
h,2664
e,2669
y,2677
space,2682
g,2688
backspace,2698
f,2702
l,2707
o,2712
w,2717
backspace,2728
backspace,2743
e,2751
w,2756
space,2765
p,2773
a,2777
s,2781
t,2788
space,2792
1,2803
2,2808
space,2814
s,2831
h,2835
i,2838
m,2844
m,2849
e,2857
r,2859
i,2865
n,2871
g,2875
space,2880
c,2885
o,2887
b,2894
e,2913
backspace,2925
w,2927
e,2932
b,2938
space,2946
s,2954
backspace,2970
backspace,2975
s,2981
space,2986
g,2994
i,3006
backspace,3019
l,3026
i,3032
s,3035
t,3041
e,3046
n,3061
i,3066
n,3070
g,3074
space,3078
i,3081
n,3086
space,3090
t,3094
h,3098
e,3104
space,3107
l,3113
i,3117
g,3120
h,3125
t,3130
space,3135
backspace,3143
period,3152
space,3155
t,3176
shift,3176
h,3184
e,3190
space,3196
a,3202
a,3206
d,3211
v,3221
backspace,3227
backspace,3232
backspace,3237
d,3240
v,3247
e,3251
n,3254
t,3258
r,3264
u,3268
r,3273
e,3276
backspace,3283
backspace,3288
backspace,3293
backspace,3298
u,3306
r,3310
e,3312
r,3317
e,3320
backspace,3333
s,3337
space,3342
c,3361
o,3365
u,3368
n,3375
t,3377
e,3381
d,3389
space,3395
8,3428
9,3440
space,3454
n,3465
u,3469
backspace,3477
backspace,3482
m,3488
u,3494
s,3497
h,3500
r,3514
o,3518
o,3525
n,3536
s,3542
space,3547
backspace,3554
backspace,3559
backspace,3564
m,3574
s,3581
space,3588
g,3599
r,3605
o,3614
w,3619
i,3622
n,3628
g,3632
space,3636
i,3638
n,3643
space,3647
t,3651
h,3655
backspace,3669
backspace,3679
a,3684
space,3690
s,3697
p,3705
i,3710
r,3717
a,3725
l,3732
space,3739
a,3745
n,3748
d,3754
space,3759
s,3764
p,3769
p,3774
backspace,3788
o,3796
t,3800
t,3806
e,3810
d,3818
space,3823
3,3836
4,3852
5,3862
space,3871
f,3884
i,3902
r,3907
e,3910
l,3922
i,3927
backspace,3938
backspace,3942
backspace,3961
r,3981
backspace,3992
e,3996
f,4002
i,4005
l,4011
i,4017
backspace,4024
backspace,4029
backspace,4034
l,4045
i,4051
e,4053
s,4059
space,4068
b,4084
l,4090
i,4095
k,4105
n,4110
i,4114
backspace,4124
backspace,4129
backspace,4134
n,4141
k,4146
i,4151
n,4156
g,4162
space,4166
i,4170
n,4175
space,4179
backspace,4190
backspace,4195
n,4211
space,4217
r,4225
h,4237
y,4251
t,4280
h,4282
m,4289
i,4293
c,4298
space,4304
h,4309
a,4314
r,4319
m,4324
o,4336
n,4343
y,4350
period,4362
space,4367
shift,4386
b,4386
y,4395
space,4401
n,4406
i,4410
g,4415
h,4417
t,4423
f,4450
a,4458
l,4460
l,4466
comma,4476
space,4481
u,4487
n,4494
d,4498
e,4507
r,4511
space,4513
a,4517
space,4524
s,4540
l,4551
backspace,4563
k,4570
y,4576
space,4584
b,4593
o,4597
a,4604
s,4610
t,4616
i,4622
n,4629
g,4632
space,4635
6,4756
7,4782
8,4802
space,4815
g,4821
l,4825
i,4830
i,4835
backspace,4847
t,4853
t,4858
e,4864
r,4865
i,4869
n,4876
g,4880
space,4883
s,4891
a,4901
backspace,4915
backspace,4923
s,4934
t,4939
a,4944
r,4950
s,4959
space,4966
backspace,4980
comma,4988
space,4992
h,4998
t,5005
backspace,5016
backspace,5021
backspace,5026
t,5028
h,5033
backspace,5040
backspace,5045
space,5051
t,5054
h,5057
e,5062
y,5066
space,5073
s,5077
h,5087
a,5092
r,5108
e,5111
d,5119
space,5123
s,5132
o,5144
t,5148
backspace,5160
backspace,5166
t,5172
o,5174
r,5180
e,5183
i,5190
backspace,5196
backspace,5201
i,5208
e,5209
s,5215
space,5221
backspace,5228
comma,5235
space,5241
b,5245
a,5254
backspace,5272
l,5279
e,5281
n,5287
d,5289
i,5293
n,5299
g,5303
space,5306
t,5308
h,5311
e,5315
space,5319
m,5325
a,5329
g,5335
i,5342
c,5347
space,5352
o,5357
f,5361
space,5363
l,5368
e,5372
t,5380
t,5389
e,5396
r,5399
s,5405
space,5410
a,5415
n,5419
d,5423
space,5427
n,5431
u,5436
m,5442
b,5447
e,5454
r,5456
s,5468
space,5473
i,5479
n,5485
t,5489
o,5494
space,5499
a,5503
n,5508
space,5515
u,5533
n,5540
f,5549
o,5554
r,5556
g,5575
e,5585
t,5589
t,5595
b,5605
backspace,5617
a,5623
b,5627
l,5631
e,5635
space,5640
t,5643
a,5660
l,5667
e,5673
period,5680
