Key,Frame
u,39
shift,42
n,46
d,50
e,57
r,62
space,65
t,70
h,73
e,78
space,82
w,97
a,103
r,108
m,116
space,122
g,129
l,132
o,138
w,141
space,154
o,162
f,169
space,172
7,194
8,202
backspace,218
backspace,241
7,278
backspace,304
6,315
7,325
8,330
space,338
s,352
t,356
a,363
r,366
s,379
space,385
backspace,399
comma,406
space,411
4,422
backspace,434
5,440
space,448
t,465
r,471
a,474
v,480
l,486
e,487
backspace,502
backspace,507
e,513
l,518
e,523
r,528
s,534
space,540
v,554
e,559
n,563
t,564
r,571
u,576
r,581
e,585
backspace,591
backspace,595
backspace,600
backspace,612
u,618
r,623
e,626
d,633
space,637
t,643
h,648
o,654
u,658
r,663
backspace,670
backspace,674
backspace,679
r,684
o,687
u,693
g,698
h,700
space,715
a,725
space,730
l,735
i,740
v,742
e,748
l,769
y,774
space,779
m,783
a,786
r,790
k,799
e,804
t,807
p,816
l,822
a,825
c,830
e,837
space,845
f,860
u,866
backspace,876
i,881
l,886
l,891
e,894
d,901
space,904
i,908
w,910
t,917
h,917
backspace,927
backspace,931
backspace,936
backspace,940
w,944
i,947
t,951
h,954
space,959
s,969
i,971
g,976
n,998
s,1005
space,1010
f,1016
r,1023
o,1026
m,1031
space,1035
a,1059
shift,1060
space,1069
t,1075
o,1078
space,1083
z,1095
shift,1096
space,1103
backspace,1111
period,1120
space,1125
shift,1134
a,1135
space,1143
q,1158
u,1163
i,1166
c,1170
k,1175
space,1180
b,1187
r,1195
o,1201
w,1205
n,1209
space,1217
f,1226
o,1231
x,1235
space,1241
d,1250
a,1257
r,1260
t,1266
e,1271
d,1278
space,1282
p,1286
a,1292
s,1295
t,1302
space,1306
7,1342
space,1353
b,1370
u,1373
s,1379
t,1384
i,1388
backspace,1404
l,1410
i,1415
n,1420
g,1424
space,1427
s,1431
t,1436
a,1442
l,1447
l,1452
s,1459
space,1465
s,1487
e,1492
l,1496
l,1501
i,1506
n,1512
g,1516
space,1520
e,1526
v,1532
e,1537
r,1541
y,1544
i,1550
backspace,1567
t,1577
h,1581
i,1584
n,1590
g,1593
space,1597
f,1600
r,1607
o,1610
m,1614
space,1620
1,1623
2,1630
space,1637
j,1646
a,1651
r,1658
s,1665
space,1674
o,1684
f,1691
space,1696
h,1701
n,1707
o,1712
n,1716
backspace,1728
backspace,1733
backspace,1738
o,1746
n,1750
e,1754
y,1760
space,1766
t,1780
o,1783
space,1789
8,1827
9,1834
space,1843
v,1857
i,1859
b,1872
r,1880
a,1888
n,1892
t,1897
space,1902
s,1912
c,1918
a,1931
r,1942
v,1951
e,1955
s,1968
period,1980
space,1988
shift,1997
n,1999
e,2004
backspace,2017
backspace,2022
n,2042
shift,2047
e,2058
r,2062
a,2067
backspace,2079
backspace,2084
a,2086
r,2089
b,2096
y,2106
space,2114
backspace,2121
comma,2128
space,2134
7,2165
backspace,2177
6,2183
space,2193
r,2206
o,2209
g,2214
s,2218
backspace,2225
backspace,2230
backspace,2235
backspace,2239
f,2242
r,2248
o,2251
g,2256
s,2268
space,2274
c,2304
r,2319
o,2346
a,2358
k,2368
e,2373
d,2380
space,2384
i,2388
n,2394
space,2398
t,2401
backspace,2411
h,2417
a,2421
r,2425
m,2433
o,2442
n,2447
y,2453
space,2461
b,2468
e,2474
s,2480
i,2485
d,2495
e,2502
space,2506
a,2510
space,2516
f,2534
o,2542
u,2544
n,2553
t,2559
i,2584
a,2584
n,2592
space,2599
a,2605
space,2612
backspace,2622
t,2626
space,2630
0,2638
space,2644
d,2651
e,2657
g,2662
r,2668
e,2671
e,2676
s,2683
space,2689
backspace,2695
comma,2703
space,2707
i,2710
t,2714
s,2723
space,2727
w,2733
a,2738
t,2748
e,2754
r,2756
s,2762
space,2768
s,2774
p,2780
a,2785
k,2792
r,2799
backspace,2805
backspace,2811
r,2818
k,2820
i,2827
n,2833
g,2839
backspace,2846
backspace,2851
backspace,2857
l,2868
i,2873
n,2878
g,2882
space,2885
i,2889
n,2895
space,2900
t,2902
h,2904
e,2910
space,2914
m,2924
o,2928
o,2934
n,2942
l,2949
i,2953
g,2958
h,2960
t,2965
comma,2972
backspace,2983
period,2993
space,2998
shift,3025
c,3027
h,3042
i,3047
l,3054
d,3057
r,3066
e,3070
n,3077
space,3084
l,3098
a,3101
u,3105
g,3110
h,3112
e,3121
d,3138
space,3143
a,3149
s,3155
space,3160
t,3162
h,3166
e,3171
backspace,3178
e,3198
y,3202
space,3209
c,3221
o,3228
u,3231
n,3238
t,3243
e,3248
d,3257
space,3260
3,3302
4,3312
5,3322
space,3334
l,3342
a,3351
n,3356
t,3361
u,3367
backspace,3379
e,3384
r,3388
n,3392
s,3397
space,3404
l,3409
i,3414
g,3417
h,3420
i,3445
backspace,3454
t,3458
i,3460
n,3466
g,3469
space,3479
u,3483
p,3489
space,3494
t,3497
h,3501
e,3506
space,3511
s,3515
q,3523
u,3527
a,3534
r,3541
e,3544
comma,3557
space,3563
w,3589
h,3593
i,3596
l,3603
e,3607
space,3611
9,3649
space,3657
m,3665
u,3672
s,3677
i,3683
c,3701
i,3708
a,3713
n,3716
s,3721
space,3728
p,3739
l,3746
a,3749
y,3757
e,3761
d,3767
space,3771
a,3778
space,3784
c,3791
h,3795
e,3800
e,3807
r,3810
f,3818
e,3829
u,3833
backspace,3840
u,3844
backspace,3859
backspace,3865
u,3871
l,3879
space,3884
t,3889
u,3894
n,3900
e,3903
period,3912
space,3917
shift,3931
t,3931
h,3938
e,3943
space,3948
n,3952
i,3959
g,3961
h,3966
t,3970
space,3974
b,3983
u,4002
z,4008
z,4013
e,4019
d,4026
space,4029
i,4033
w,4037
backspace,4046
backspace,4052
w,4055
i,4058
t,4062
h,4066
space,4069
e,4075
n,4079
e,4085
r,4086
g,4102
y,4106
space,4114
backspace,4121
comma,4130
space,4133
a,4141
space,4147
p,4152
e,4173
r,4176
f,4193
e,4198
c,4205
t,4212
space,4216
b,4256
a,4262
l,4269
backspace,4281
backspace,4286
l,4293
e,4294
n,4299
d,4302
space,4307
o,4310
f,4314
space,4317
n,4322
u,4326
m,4333
b,4336
e,4343
r,4346
s,4350
comma,4356
space,4362
l,4370
e,4372
t,4377
t,4383
e,4389
r,4392
s,4396
space,4407
backspace,4415
comma,4422
space,4427
a,4429
n,4433
d,4437
space,4440
t,4443
h,4445
e,4450
space,4456
b,4463
o,4467
u,4470
n,4476
d,4479
l,4492
e,4495
s,4500
s,4505
space,4511
j,4515
o,4520
y,4524
space,4531
o,4536
f,4540
space,4544
l,4550
f,4561
i,4568
backspace,4577
backspace,4583
i,4589
f,4591
e,4596
period,4603
